link,name,ingredients,recipe_category,recipe_cuisine,rating,rating_count,keywords
https://www.epicurious.com/recipes/food/views/fresh-spinach-with-tofu-dressing-103271,Fresh Spinach with Tofu Dressing ,"3 6-ounce bags fresh baby spinach $ 8 ounces fresh soft tofu* $ 1 teaspoon sweet white miso (shiro-miso)* or yellow miso $ 1 teaspoon mirin (sweet Japanese rice wine)* $ 1 teaspoon Dashi $ 1/2 teaspoon sugar $ 1/2 teaspoon fresh lemon juice $ 1/4 teaspoon finely grated lemon peel $ 1 tablespoon toasted white sesame seeds, crushed $ 6 thin lemon peel strips $ ",Side $ Picnic $ Lemon $ Tofu $ Spinach $ Spring $ Potluck $ Bon Appétit $ Sugar Conscious $ Vegan $ Vegetarian $ Pescatarian $ Dairy Free $ Wheat/Gluten-Free $ Peanut Free $ Tree Nut Free $ Kosher $ ,Japanese $ ,2.5/4,4,Side $ Picnic $ Lemon $ Tofu $ Spinach $ Spring $ Potluck $ Bon Appétit $ Sugar Conscious $ Vegan $ Vegetarian $ Pescatarian $ Dairy Free $ Wheat/Gluten-Free $ Peanut Free $ Tree Nut Free $ Kosher $ Japanese $ 
https://www.epicurious.com/recipes/food/views/beef-and-potato-supper-pot-108198,Beef and Potato Supper Pot ,"1 tablespoon vegetable oil $ 3 medium potatoes (about 1 3/4 pounds), peeled and cut into bite-size chunks $ 2 medium onions, peeled and coarsely chopped $ 1/3 pound lean beef, sliced into thin bite-size strips $ 1 2/3 cups dashi $ 3 tablespoons sugar $ 3 tablespoons sake $ 3 tablespoons soy sauce $ 1 tablespoon mirin $ ",Wine $ Beef $ Potato $ Sauté $ Quick & Easy $ Dinner $ Sake $ Winter $ Healthy $ Soy Sauce $ Dairy Free $ Peanut Free $ Tree Nut Free $ Kosher $ ,Japanese $ ,3/4,4,Wine $ Beef $ Potato $ Sauté $ Quick & Easy $ Dinner $ Sake $ Winter $ Healthy $ Soy Sauce $ Dairy Free $ Peanut Free $ Tree Nut Free $ Kosher $ Japanese $ 
https://www.epicurious.com/recipes/food/views/sushi-roll-rice-salad-106755,Sushi-Roll Rice Salad ,"1 1/2 cups short-grain sushi rice $ 1 3/4 cups plus 1 1/2 tablespoons water $ 1/4 cup seasoned rice vinegar $ 1 tablespoon sugar $ 1 teaspoon salt $ 1 medium carrot $ 1 1/4 teaspoons wasabi paste (Japanese horseradish paste) $ 1 1/2 tablespoons vegetable oil $ 1/2 large seedless cucumber (usually plastic-wrapped), peeled, halved lengthwise, cored, and chopped (1 cup) $ 3 scallions, thinly sliced diagonally $ 3 tablespoons drained sliced Japanese pickled ginger, coarsely chopped $ 1 tablespoonsesame seeds, toasted $ 1 firm-ripe California avocado $ 8 fresh shiso leaves (optional) $ 1 (6-inch) square toasted nori (dried laver), cut into very thin strips with scissors $ ",Salad $ Rice $ Steam $ Summer $ Gourmet $ ,Asian $ Japanese $ ,3.5/4,61,Salad $ Rice $ Steam $ Summer $ Gourmet $ Asian $ Japanese $ 
https://www.epicurious.com/recipes/food/views/ginger-miso-and-cilantro-sauce-5209,"Ginger, Miso and Cilantro Sauce ","1 1/2 teaspoons oriental sesame oil $ 1/2 cup minced shallots $ 1 tablespoon minced peeled fresh ginger $ 1 cup canned low-salt chicken broth $ 1/4 cup frozen orange juice concentrate, thawed $ 3 tablespoons rice vinegar $ 2 tablespoons yellow miso (fermented soybean paste)* or soy sauce $ 2 tablespoons chopped fresh cilantro $ *Available at Japanese markets and specialty foods stores and in the Asian foods sections of some supermarkets. $ ",Sauce $ Fruit Juice $ Ginger $ Sauté $ Quick & Easy $ Shallot $ Cilantro $ Bon Appétit $ ,Japanese $ ,3.5/4,19,Sauce $ Fruit Juice $ Ginger $ Sauté $ Quick & Easy $ Shallot $ Cilantro $ Bon Appétit $ Japanese $ 
https://www.epicurious.com/recipes/food/views/salmon-teriyaki-with-carrots-and-onions-10018,Salmon Teriyaki with Carrots and Onions ,"1/3 cup soy sauce $ 2 tablespoons mirin (sweet Japanese rice wine) or medium-dry Sherry $ 2 1/2 tablespoons cider vinegar $ 2 tablespoons sugar $ 1 1/2 tablespoons chopped peeled fresh gingerroot $ two 1/2 inch-thick salmon steaks $ 2 carrots, halved lengthwise and cut diagonally into 1/4-inch slices $ 1 onion, cut into 1/4-inch slices $ 1 tablespoon vegetable oil $ Garnish: 2 scallion greens, cut decoratively $ ",Fish $ Ginger $ Onion $ Marinate $ Sauté $ Quick & Easy $ Vinegar $ Salmon $ Carrot $ Healthy $ Soy Sauce $ Gourmet $ ,Japanese $ ,3.5/4,41,Fish $ Ginger $ Onion $ Marinate $ Sauté $ Quick & Easy $ Vinegar $ Salmon $ Carrot $ Healthy $ Soy Sauce $ Gourmet $ Japanese $ 
https://www.epicurious.com/recipes/food/views/chicken-on-a-skewer-yakitori-106095,Chicken on a Skewer (Yakitori) ,"4 medium chicken legs (thighs and drumsticks), boned $ 1 large green bell pepper $ 8 tablespoons Japanese soy sauce (shoyu) $ 4 tablespoons sake $ 3 tablespoons sugar $ ",Chicken $ Poultry $ Appetizer $ Broil $ Cocktail Party $ Backyard BBQ $ Dinner $ Party $ Soy Sauce $ Dairy Free $ Peanut Free $ Tree Nut Free $ Kosher $ ,Asian $ Japanese $ ,2.5/4,2,Chicken $ Poultry $ Appetizer $ Broil $ Cocktail Party $ Backyard BBQ $ Dinner $ Party $ Soy Sauce $ Dairy Free $ Peanut Free $ Tree Nut Free $ Kosher $ Asian $ Japanese $ 
https://www.epicurious.com/recipes/food/views/avocado-and-crab-meat-sushi-12779,Avocado and Crab-Meat Sushi ,"1 cup white short-grain rice* $ 2 tablespoons rice vinegar (available at Oriental markets, specialty foods shops, and some supermarkets) $ 1 teaspoon sugar $ 1 teaspoon dry Sherry $ 1/2 teaspoon salt $ 1/2 avocado (preferably California) $ fresh lemon juice for rubbing the avocado $ three 8- by 7-inch pieces of toasted nori (dried laver)* $ 1/2 cucumber, peeled and cut lengthwise into 8- by 1/4-inch strips, discarding the seeds $ about 1/4 pound fresh King crab meat, thawed if frozen, picked over, and drained $ wasabi (Japanese horseradish) paste* to taste for the sushi plus additional as an accompaniment if desired $ soy sauce as an accompaniment $ pickled ginger* as an accompaniment if desired $ *available at Oriental markets and some specialty foods shops $ ",Rice $ Shellfish $ Crab $ Avocado $ Boil $ Gourmet $ ,Japanese $ ,3.5/4,29,Rice $ Shellfish $ Crab $ Avocado $ Boil $ Gourmet $ Japanese $ 
https://www.epicurious.com/recipes/food/views/miso-glazed-sea-bass-102851,Miso Glazed Sea Bass ,1/3 cup sake $ 1/3 cup mirin (sweet Japanese rice wine)* $ 1/3 cup light yellow miso (fermented soybean paste)* $ 3 tablespoons (packed) brown sugar $ 2 tablespoons soy sauce $ 4 6-ounce sea bass fillets (each about 3/4 inch thick) $ 2 tablespoons chopped green onions $ 2 tablespoons chopped fresh basil $ ,Wine $ Fish $ Onion $ Broil $ Basil $ Bass $ Winter $ Soy Sauce $ Bon Appétit $ ,Japanese $ ,3.5/4,139,Wine $ Fish $ Onion $ Broil $ Basil $ Bass $ Winter $ Soy Sauce $ Bon Appétit $ Japanese $ 
https://www.epicurious.com/recipes/food/views/mint-and-scallion-soba-noodles-105128,Mint and Scallion Soba Noodles ,12 oz dried soba noodles (Japanese buckwheat noodles) $ 1/3 cup rice vinegar (not seasoned) $ 1 tablespoon vegetable oil $ 1 tablespoon soy sauce $ 1 1/4 teaspoons sugar $ 3/4 teaspoon salt $ 1/2 cup chopped fresh mint $ 1 1/2 cups thinly sliced scallions (1 1/2 bunches) $ ,Pasta $ Mint $ Summer $ Soy Sauce $ Gourmet $ ,Japanese $ ,3/4,26,Pasta $ Mint $ Summer $ Soy Sauce $ Gourmet $ Japanese $ 
https://www.epicurious.com/recipes/food/views/japanese-style-quick-pickled-slaw-103610,Japanese-Style Quick-Pickled Slaw ,"1/2 cup rice vinegar* $ 2 tablespoons oriental sesame oil* $ 2 tablespoons soy sauce $ 1 tablespoon golden brown sugar $ 1 tablespoon minced peeled fresh ginger $ 1 tablespoon Thai fish sauce (nam pla)* $ 1 medium cucumber, peeled, seeded, cut into matchstick-size strips $ 1 large carrot, peeled, cut into matchstick-size strips $ 1 red bell pepper, cut into matchstick-size strips $ 4 cups thinly sliced Napa cabbage $ ",Salad $ Side $ Vinegar $ Cucumber $ Bell Pepper $ Carrot $ Summer $ Cabbage $ Bon Appétit $ Pescatarian $ Dairy Free $ Peanut Free $ Tree Nut Free $ ,Japanese $ ,3/4,6,Salad $ Side $ Vinegar $ Cucumber $ Bell Pepper $ Carrot $ Summer $ Cabbage $ Bon Appétit $ Pescatarian $ Dairy Free $ Peanut Free $ Tree Nut Free $ Japanese $ 
