link,name,ingredients,recipe_category,recipe_cuisine,rating,rating_count,keywords
https://www.epicurious.com/recipes/food/views/curried-couscous-with-chicken-and-zucchini-232154,Curried Couscous with Chicken and Zucchini ,"1 large onion, finely chopped (2 cups) $ 3/4 stick (6 tablespoons) unsalted butter $ 3 skinless boneless chicken breast halves (6 oz each), cut diagonally into 1/2-inch-thick slices $ 1 1/8 teaspoons salt $ 3/8 teaspoon black pepper $ 2 tablespoons vegetable oil $ 2 small zucchini (10 oz total), cut into matchsticks (2 inches long by 1/4 inch thick) $ 2 large garlic cloves, minced $ 2 teaspoons curry powder (preferably Madras) $ 2 1/4 cups (18 fl oz) reduced-sodium chicken broth $ 1/2 cup heavy cream $ 1 1/4 cups couscous (8 oz) $ 2 1/2 tablespoons coarsely chopped fresh cilantro $ 1 lime, cut into wedges $ ",Chicken $ Vegetable $ Sauté $ Dinner $ Curry $ Zucchini $ Summer $ Couscous $ Gourmet $ Peanut Free $ Tree Nut Free $ Soy Free $ No Sugar Added $ ,Indian $ ,3.5/4,43,Chicken $ Vegetable $ Sauté $ Dinner $ Curry $ Zucchini $ Summer $ Couscous $ Gourmet $ Peanut Free $ Tree Nut Free $ Soy Free $ No Sugar Added $ Indian $ 
https://www.epicurious.com/recipes/food/views/carrot-pachadi-232011,Carrot Pachadi ,1 1/2 cups plain whole-milk yogurt $ 1 lb carrots $ 1 tablespoon vegetable oil $ 1 teaspoon black mustard seeds $ 8 fresh curry leaves $ 1 cup finely chopped red onion $ 1 teaspoon ground cumin $ 1/2 teaspoon salt $ 1/8 teaspoon cayenne $ 1/4 cup chopped fresh cilantro $ a food processor fitted with shredding disk $ ,Condiment/Spread $ Salad $ Food Processor $ Dairy $ Vegetable $ Side $ Vegetarian $ Quick & Easy $ Yogurt $ Carrot $ Summer $ Gourmet $ Pescatarian $ Wheat/Gluten-Free $ Peanut Free $ Tree Nut Free $ Soy Free $ No Sugar Added $ Kosher $ ,Indian $ ,3.5/4,13,Condiment/Spread $ Salad $ Food Processor $ Dairy $ Vegetable $ Side $ Vegetarian $ Quick & Easy $ Yogurt $ Carrot $ Summer $ Gourmet $ Pescatarian $ Wheat/Gluten-Free $ Peanut Free $ Tree Nut Free $ Soy Free $ No Sugar Added $ Kosher $ Indian $ 
https://www.epicurious.com/recipes/food/views/warm-peanut-salad-232008,Warm Peanut Salad ,"1 lb raw peanuts in shell, shelled (1 3/4 cups) $ 1 Turkish or 1/2 California bay leaf $ 2 medium tomatoes, seeded and chopped $ 1 cup chopped fresh cilantro (from 2 bunches) $ 2 fresh small green Thai or serrano chiles (about 2 inches long), minced $ 2 tablespoons fresh lemon juice $ 3/4 teaspoon fine sea salt $ ",Salad $ Nut $ Side $ Vegetarian $ Peanut $ Vegan $ Gourmet $ Sugar Conscious $ Pescatarian $ Dairy Free $ Wheat/Gluten-Free $ Tree Nut Free $ Soy Free $ No Sugar Added $ Kosher $ ,Indian $ ,3.5/4,4,Salad $ Nut $ Side $ Vegetarian $ Peanut $ Vegan $ Gourmet $ Sugar Conscious $ Pescatarian $ Dairy Free $ Wheat/Gluten-Free $ Tree Nut Free $ Soy Free $ No Sugar Added $ Kosher $ Indian $ 
https://www.epicurious.com/recipes/food/views/indian-style-cucumber-salad-232007,Indian-Style Cucumber Salad ,"1 (1-lb) seedless cucumber (usually plastic-wrapped), cut into 1/2-inch cubes $ 1/2 teaspoon salt $ 3/4 to 1 teaspoon cumin seeds $ 1/2 cup chopped fresh cilantro $ 1/2 cup whole-milk plain yogurt $ ",Condiment/Spread $ Salad $ Dairy $ Vegetable $ No-Cook $ Vegetarian $ Quick & Easy $ Cucumber $ Gourmet $ ,Indian $ ,2.5/4,19,Condiment/Spread $ Salad $ Dairy $ Vegetable $ No-Cook $ Vegetarian $ Quick & Easy $ Cucumber $ Gourmet $ Indian $ 
https://www.epicurious.com/recipes/food/views/basmati-rice-232006,Basmati Rice ,2 cups basmati rice (14 oz) $ 2 tablespoons unsalted butter $ 3 1/3 cups water $ 1 teaspoon salt $ ,Rice $ Side $ Quick & Easy $ Gourmet $ Sugar Conscious $ Kidney Friendly $ Vegetarian $ Pescatarian $ Wheat/Gluten-Free $ Peanut Free $ Tree Nut Free $ Soy Free $ No Sugar Added $ Kosher $ ,Indian $ ,3.5/4,25,Rice $ Side $ Quick & Easy $ Gourmet $ Sugar Conscious $ Kidney Friendly $ Vegetarian $ Pescatarian $ Wheat/Gluten-Free $ Peanut Free $ Tree Nut Free $ Soy Free $ No Sugar Added $ Kosher $ Indian $ 
https://www.epicurious.com/recipes/food/views/chicken-and-green-bean-coconut-curry-231996,Chicken and Green Bean Coconut Curry ,2 tablespoons tamarind (not concentrate) from a pliable block $ 1/2 cup boiling-hot water $ 2 tablespoons coriander seeds $ 1 1/2 teaspoons cumin seeds $ 27 fresh curry leaves* $ 6 (3-inch-long) dried hot Indian red chiles $ 6 chicken breast halves with skin and bones (5 lb total) $ 2 teaspoons salt $ 3 tablespoons vegetable oil $ ,Chicken $ Vegetable $ Dinner $ Coconut $ Curry $ Green Bean $ Gourmet $ Sugar Conscious $ Dairy Free $ Wheat/Gluten-Free $ Peanut Free $ Tree Nut Free $ Soy Free $ No Sugar Added $ Kosher $ ,Indian $ ,2.5/4,10,Chicken $ Vegetable $ Dinner $ Coconut $ Curry $ Green Bean $ Gourmet $ Sugar Conscious $ Dairy Free $ Wheat/Gluten-Free $ Peanut Free $ Tree Nut Free $ Soy Free $ No Sugar Added $ Kosher $ Indian $ 
https://www.epicurious.com/recipes/food/views/strawberry-lassi-231822,Strawberry Lassi ,"1 lb fresh strawberries, trimmed and halved (3 1/2 cups) $ 1/2 cup sugar $ Rounded 1/4 teaspoon ground cardamom $ 2 cups plain yogurt (whole-milk or low-fat) $ 1 cup ice cubes $ ",Smoothie $ Non-Alcoholic $ Blender $ Berry $ Fruit $ Breakfast $ Brunch $ Dessert $ Kid-Friendly $ Strawberry $ Spring $ Summer $ Gourmet $ Drink $ Vegetarian $ Pescatarian $ Wheat/Gluten-Free $ Peanut Free $ Tree Nut Free $ Soy Free $ Kosher $ ,Indian $ ,4/4,6,Smoothie $ Non-Alcoholic $ Blender $ Berry $ Fruit $ Breakfast $ Brunch $ Dessert $ Kid-Friendly $ Strawberry $ Spring $ Summer $ Gourmet $ Drink $ Vegetarian $ Pescatarian $ Wheat/Gluten-Free $ Peanut Free $ Tree Nut Free $ Soy Free $ Kosher $ Indian $ 
https://www.epicurious.com/recipes/food/views/shrimp-curry-231646,Shrimp Curry ,"1 large onion, quartered $ 1 (2-inch-long) piece fresh ginger, peeled $ 1/2 teaspoon salt $ 1/2 teaspoon sugar $ 1/4 cup vegetable oil $ 1 1/2 teaspoons curry powder (preferably Madras) $ 1 to 2 fresh serrano chiles, halved lengthwise $ 1 cup water $ 1 (14-oz) can unsweetened coconut milk (not low fat) $ 1 tablespoon fresh lime juice $ 1 lb large shrimp in shell (21 to 25 per lb) $ Accompaniment: cooked basmati rice $ Garnish: lime wedges $ ",Shellfish $ Sauté $ Quick & Easy $ Shrimp $ Curry $ Gourmet $ Quick and Healthy $ ,Indian $ ,3/4,100,Shellfish $ Sauté $ Quick & Easy $ Shrimp $ Curry $ Gourmet $ Quick and Healthy $ Indian $ 
https://www.epicurious.com/recipes/food/views/ginger-curry-aioli-231113,Ginger-Curry Aïoli ,"1 cup mayonnaise $ 1 1/2 tablespoons peeled fresh ginger, minced $ 1 tablespoon Indian curry paste $ 1 tablespoon regular tomato paste $ ",Condiment/Spread $ Ginger $ Tomato $ Side $ No-Cook $ Mayonnaise $ Curry $ Bon Appétit $ ,Indian $ ,0/4,0,Condiment/Spread $ Ginger $ Tomato $ Side $ No-Cook $ Mayonnaise $ Curry $ Bon Appétit $ Indian $ 
https://www.epicurious.com/recipes/food/views/aloo-gobhi-stuffing-231000,Aloo Gobhi Stuffing ,"1 stick (1/2 cup) unsalted butter plus additional for buttering pan $ 1 (24-inch) baguette, cut into 3/4-inch cubes (8 cups) $ 3 medium onions, coarsely chopped $ 3 medium carrots, cut into 1/4-inch dice $ 3 celery ribs, cut into 1/4-inch dice $ 1 1/2 lb russet (baking) potatoes, peeled and cut into 1/2-inch dice $ 1 (2-lb) head cauliflower, trimmed and cut into 1/2-inch-wide florets and stem pieces $ 2 1/2 teaspoons curry powder (preferably Madras) $ 1 1/2 teaspoons sea salt $ 1 teaspoon black pepper $ 1 teaspoon cumin seeds $ 1/4 teaspoon cayenne $ 1 1/2 cups reduced-sodium chicken broth (12 fl oz) $ 1 1/2 cups unsalted roasted cashews (7 oz) $ ",Onion $ Potato $ Side $ Roast $ Thanksgiving $ Stuffing/Dressing $ Cashew $ Curry $ Cauliflower $ Carrot $ Fall $ Gourmet $ Peanut Free $ Soy Free $ ,Indian $ ,3.5/4,10,Onion $ Potato $ Side $ Roast $ Thanksgiving $ Stuffing/Dressing $ Cashew $ Curry $ Cauliflower $ Carrot $ Fall $ Gourmet $ Peanut Free $ Soy Free $ Indian $ 
