link,name,ingredients,recipe_category,recipe_cuisine,rating,rating_count,keywords
https://www.epicurious.com/recipes/food/views/chicken-jook-232151,Chicken Jook ,"1 bunch scallions $ 1 (1-inch) piece fresh ginger, peeled $ 12 fresh cilantro sprigs $ 1 (2 1/2- to 3-lb) whole chicken $ 2 teaspoons salt $ 3 qt cold water $ 1/4 cup dried scallops* (about 10) $ 3/4 cup long-grain rice $ 1/4 cup Chinese (short-grain) sticky rice* (also called glutinous) $ Accompaniments: soy-sauce-pickled cucumbers*; pickled mustard greens; thousand-year-old eggs, shelled and cut into wedges; smoked tofu*, cut into slices $ Garnish: fresh cilantro leaves $ a small square of cheesecloth; kitchen string $ ",Chicken $ Rice $ Breakfast $ Brunch $ Quick & Easy $ Lunch $ Seafood $ Gourmet $ Sugar Conscious $ Dairy Free $ Wheat/Gluten-Free $ Peanut Free $ Tree Nut Free $ Soy Free $ No Sugar Added $ ,Asian $ Chinese $ ,3/4,5,Chicken $ Rice $ Breakfast $ Brunch $ Quick & Easy $ Lunch $ Seafood $ Gourmet $ Sugar Conscious $ Dairy Free $ Wheat/Gluten-Free $ Peanut Free $ Tree Nut Free $ Soy Free $ No Sugar Added $ Asian $ Chinese $ 
https://www.epicurious.com/recipes/food/views/cold-smoked-chicken-with-baby-bok-choy-and-cashew-salad-232149,Cold-Smoked Chicken with Baby Bok Choy and Cashew Salad ,"6 baby bok choy, separated into leaves $ 2 tablespoons rice vinegar (not seasoned) $ 1 tablespoon soy sauce $ 2 teaspoons hoisin sauce $ 1/2 teaspoon black pepper $ 1/4 teaspoon Chinese five-spice powder $ 1/4 cup vegetable oil $ 2 tablespoons Asian sesame oil $ 2 tablespoons sesame seeds, toasted $ 3 cooked cold-smoked chicken legs (see cooks' note, below), skin discarded and meat finely shredded (3 cups) $ 1 small seedless cucumber (usually plastic-wrapped), halved lengthwise, cored, and cut into 1/8-inch-thick matchsticks $ 1/2 cup chopped fresh cilantro $ 1/2 cup roasted unsalted cashews (2 1/2 oz) $ ",Salad $ Chicken $ Leafy Green $ Nut $ Poultry $ Picnic $ Quick & Easy $ Lunch $ Cashew $ Summer $ Bok Choy $ Gourmet $ Sugar Conscious $ Dairy Free $ Peanut Free $ No Sugar Added $ Kosher $ ,American $ Asian $ ,3.5/4,4,Salad $ Chicken $ Leafy Green $ Nut $ Poultry $ Picnic $ Quick & Easy $ Lunch $ Cashew $ Summer $ Bok Choy $ Gourmet $ Sugar Conscious $ Dairy Free $ Peanut Free $ No Sugar Added $ Kosher $ American $ Asian $ 
https://www.epicurious.com/recipes/food/views/spicy-asian-marinade-232058,Spicy Asian Marinade ,3 tablespoons soy sauce $ 2 tablespoons rice wine or sake $ 1 tablespoon minced garlic $ 1 teaspoon dried chile flakes or hot chile paste $ 1 tablespoon virgin olive oil $ ,Sauce $ Garlic $ Pepper $ Marinate $ Quick & Easy $ ,Asian $ ,4/4,12,Sauce $ Garlic $ Pepper $ Marinate $ Quick & Easy $ Asian $ 
https://www.epicurious.com/recipes/food/views/jesses-spicy-grilled-chicken-breasts-232057,Jesse's Spicy Grilled Chicken Breasts ,"3 boneless, skinless chicken breasts (abut 1 1/2 pounds) $ 1 recipe Spicy Asian Marinade $ 2 tablespoons virgin olive oil (for oiling the grill) $ ",Chicken $ Poultry $ Marinate $ Low Cal $ Backyard BBQ $ Grill/Barbecue $ ,American $ Asian $ ,3/4,7,Chicken $ Poultry $ Marinate $ Low Cal $ Backyard BBQ $ Grill/Barbecue $ American $ Asian $ 
https://www.epicurious.com/recipes/food/views/penang-rice-salad-232028,Penang Rice Salad ,"1 3/4 cups jasmine rice* (11 3/4 oz) $ 3 cups water $ 1/3 cup packaged unsweetened dried coconut $ 1/4 cup fine-quality dried shrimp** (1 oz) $ 1 large fresh lemongrass stalk, 1 or 2 outer leaves discarded and root end trimmed $ 3 (2 1/2-inch-long) fresh or thawed frozen Kaffir lime leaves $ 1 (1/2-inch) piece peeled fresh or thawed frozen turmeric** (optional), finely grated $ 1 large shallot, halved lengthwise and very thinly sliced crosswise (3/4 cup) $ 5 tablespoons very thinly sliced fresh Vietnamese basil or fresh cilantro (from 1 bunch) $ 3 tablespoons very thinly sliced fresh mint $ 2 tablespoons fresh lime juice, or to taste $ 1/2 teaspoon freshly ground white pepper $ 1/4 teaspoon salt $ an electric coffee/spice grinder $ ",Rice $ Shellfish $ Side $ Sauté $ Shrimp $ Gourmet $ Sugar Conscious $ Kidney Friendly $ Pescatarian $ Dairy Free $ Wheat/Gluten-Free $ Peanut Free $ Tree Nut Free $ Soy Free $ No Sugar Added $ ,Asian $ Thai $ Southeast Asian $ ,2/4,1,Rice $ Shellfish $ Side $ Sauté $ Shrimp $ Gourmet $ Sugar Conscious $ Kidney Friendly $ Pescatarian $ Dairy Free $ Wheat/Gluten-Free $ Peanut Free $ Tree Nut Free $ Soy Free $ No Sugar Added $ Asian $ Thai $ Southeast Asian $ 
https://www.epicurious.com/recipes/food/views/beef-pot-stickers-232027,Beef Pot Stickers ,1 3/4 to 2 cups all-purpose flour $ 3/4 cup boiling-hot water $ 1/4 lb ground beef chuck (1/2 cup) $ 1 1/2 tablespoons soy sauce $ 1 tablespoon Asian sesame oil $ 1 tablespoon peanut oil $ 1 tablespoon minced peeled fresh ginger $ 1 teaspoon Chinese sweet bean paste $ 2 cups finely chopped yellow or green garlic chives (6 oz) $ 1 tablespoon peanut oil $ 1/3 cup warm water $ a 6-inch (3/4-inch-diameter) rolling pin or dowel $ ,Beef $ Fry $ Cocktail Party $ Meat $ Ground Beef $ Pan-Fry $ Gourmet $ ,Asian $ Chinese $ ,3/4,12,Beef $ Fry $ Cocktail Party $ Meat $ Ground Beef $ Pan-Fry $ Gourmet $ Asian $ Chinese $ 
https://www.epicurious.com/recipes/food/views/chicken-and-scallion-skewers-232025,Chicken and Scallion Skewers ,"Vegetable oil for brushing $ 1/4 cup mirin (Japanese sweet rice wine) $ 3 tablespoons soy sauce $ 3 tablespoons sake or dry Sherry $ 2 teaspoons sugar $ 3 bunches large scallions $ 1 lb skinless boneless chicken thighs (about 3), cut into 1-inch pieces $ 12 (8-inch) wooden skewers $ ",Chicken $ Poultry $ Appetizer $ Broil $ Cocktail Party $ Quick & Easy $ Party $ Gourmet $ Sugar Conscious $ Dairy Free $ Peanut Free $ Tree Nut Free $ Kosher $ ,Asian $ Japanese $ ,3/4,4,Chicken $ Poultry $ Appetizer $ Broil $ Cocktail Party $ Quick & Easy $ Party $ Gourmet $ Sugar Conscious $ Dairy Free $ Peanut Free $ Tree Nut Free $ Kosher $ Asian $ Japanese $ 
https://www.epicurious.com/recipes/food/views/sweet-rice-flour-and-coconut-cake-232024,Sweet Rice-Flour and Coconut Cake ,"3 cups mochiko* (sweet rice flour; 1 lb) $ 2 1/2 cups sugar $ 2 teaspoons baking powder $ 1/4 teaspoon salt $ 2 (14-oz) cans unsweetened coconut milk (not low-fat) $ 5 large eggs $ 1/2 stick (1/4 cup) unsalted butter, melted and cooled $ 1 teaspoon vanilla $ ",Cake $ Rice $ Dessert $ Bake $ Gourmet $ Kidney Friendly $ Vegetarian $ Pescatarian $ Wheat/Gluten-Free $ Peanut Free $ Tree Nut Free $ Soy Free $ Kosher $ ,Asian $ ,3.5/4,35,Cake $ Rice $ Dessert $ Bake $ Gourmet $ Kidney Friendly $ Vegetarian $ Pescatarian $ Wheat/Gluten-Free $ Peanut Free $ Tree Nut Free $ Soy Free $ Kosher $ Asian $ 
https://www.epicurious.com/recipes/food/views/chicken-and-cilantro-bites-231978,Chicken and Cilantro Bites ,"1/4 cup soy sauce $ 1/4 cup rice vinegar (not seasoned) $ 1 lb ground chicken (not breast meat) $ 1 large egg $ 1/2 cup finely chopped fresh cilantro $ 2 scallions, finely chopped $ 2 teaspoons Asian sesame oil $ 1 teaspoon salt $ 3/4 cup cornstarch $ 1/2 cup vegetable oil $ ",Chicken $ Herb $ Poultry $ Appetizer $ Fry $ Cocktail Party $ Super Bowl $ Poker/Game Night $ Party $ Cilantro $ Gourmet $ Sugar Conscious $ Kidney Friendly $ Dairy Free $ Peanut Free $ Tree Nut Free $ No Sugar Added $ Kosher $ ,Asian $ ,3/4,52,Chicken $ Herb $ Poultry $ Appetizer $ Fry $ Cocktail Party $ Super Bowl $ Poker/Game Night $ Party $ Cilantro $ Gourmet $ Sugar Conscious $ Kidney Friendly $ Dairy Free $ Peanut Free $ Tree Nut Free $ No Sugar Added $ Kosher $ Asian $ 
https://www.epicurious.com/recipes/food/views/soy-sake-shrimp-with-ginger-aioli-231860,Soy-Sake Shrimp with Ginger Aïoli ,"1/2 cup soy sauce $ 2 green onions, chopped $ 6 tablespoons olive oil, divided $ 2 tablespoons unseasoned rice vinegar $ 2 tablespoons sake or dry Sherry $ 1 tablespoon golden brown sugar $ 3 garlic cloves, chopped $ 24 deveined peeled uncooked large shrimp (about 1 1/2 pounds) $ 1 cup mayonnaise $ 1 tablespoon chopped peeled fresh ginger $ Cooked white rice $ ",Ginger $ Shellfish $ Soy $ Appetizer $ Marinate $ Sauté $ Quick & Easy $ Seafood $ Shrimp $ Spring $ Summer $ Soy Sauce $ Bon Appétit $ South Carolina $ Sugar Conscious $ Pescatarian $ Dairy Free $ Peanut Free $ Tree Nut Free $ ,Asian $ ,3.5/4,57,Ginger $ Shellfish $ Soy $ Appetizer $ Marinate $ Sauté $ Quick & Easy $ Seafood $ Shrimp $ Spring $ Summer $ Soy Sauce $ Bon Appétit $ South Carolina $ Sugar Conscious $ Pescatarian $ Dairy Free $ Peanut Free $ Tree Nut Free $ Asian $ 
